source language,target language,engine name
az,kk,Google
az,km,Google
az,kn,Google
az,ko,Google
az,ku,Google
az,ky,Google
az,la,Google
az,lb,Google
az,lg,Google
az,ln,Google
az,lo,Google
az,lt,Google
az,lv,Google
az,mai,Google
az,mg,Google
az,mi,Google
az,mk,Google
az,ml,Google
az,mn,Google
az,mni,Google
az,mr,Google
az,ms,Google
az,mt,Google
az,my,Google
az,ne,Google
az,nl,Google
az,no,Google
az,nso,Google
az,ny,Google
az,om,Google
az,or,Google
az,pa,Google
az,pl,Google
az,ps,Google
az,pt,Google
az,qu,Google
az,ro,Google
az,ru,Google
az,rw,Google
az,sa,Google
az,sd,Google
az,sh,Google
az,si,Google
az,simple,Google
az,sk,Google
az,sl,Google
az,sm,Google
az,sn,Google
az,so,Google
az,sq,Google
az,sr,Google
az,st,Google
az,su,Google
az,sv,Google
az,sw,Google
az,ta,Google
az,te,Google
az,tg,Google
az,th,Google
az,ti,Google
az,tk,Google
az,tl,Google
az,tr,Google
az,ts,Google
az,tt,Google
az,tw,Google
az,ug,Google
az,uk,Google
az,ur,Google
az,uz,Google
az,vi,Google
az,wuu,Google
az,xh,Google
az,yi,Google
az,yo,Google
az,yue,Google
az,zh,Google
az,zu,Google
be,af,Google
be,am,Google
be,ar,Google
be,arz,Google
be,as,Google
be,ay,Google
be,az,Google
be,be-tarask,Google
be,bg,Google
be,bho,Google
be,bm,Google
be,bn,Google
be,bs,Google
be,ca,Google
be,ceb,Google
be,ckb,Google
be,co,Google
be,cs,Google
be,cy,Google
be,da,Google
be,de,Google
be,dv,Google
be,ee,Google
be,el,Google
be,en,Google
be,eo,Google
be,es,Google
be,et,Google
be,eu,Google
be,fa,Google
be,fi,Google
be,fr,Google
be,fy,Google
be,ga,Google
be,gan,Google
be,gd,Google
be,gl,Google
be,gn,Google
be,gom,Google
be,gu,Google
be,ha,Google
be,haw,Google
be,he,Google
be,hi,Google
be,hr,Google
be,ht,Google
be,hu,Google
be,hy,Google
be,id,Google
be,ig,Google
be,ilo,Google
be,is,Google
be,it,Google
be,ja,Google
be,jv,Google
be,ka,Google
be,kk,Google
be,km,Google
be,kn,Google
be,ko,Google
be,ku,Google
be,ky,Google
be,la,Google
be,lb,Google
be,lg,Google
be,ln,Google
be,lo,Google
be,lt,Google
be,lv,Google
be,mai,Google
be,mg,Google
be,mi,Google
be,mk,Google
be,ml,Google
be,mn,Google
be,mni,Google
be,mr,Google
be,ms,Google
be,mt,Google
be,my,Google
be,ne,Google
be,nl,Google
be,no,Google
be,nso,Google
be,ny,Google
be,om,Google
be,or,Google
be,pa,Google
be,pl,Google
be,ps,Google
be,pt,Google
be,qu,Google
be,ro,Google
be,ru,Google
be,rw,Google
be,sa,Google
be,sd,Google
be,sh,Google
be,si,Google
be,simple,Google
be,sk,Google
be,sl,Google
be,sm,Google
be,sn,Google
be,so,Google
be,sq,Google
be,sr,Google
be,st,Google
be,su,Google
be,sv,Google
be,sw,Google
be,ta,Google
be,te,Google
be,tg,Google
be,th,Google
be,ti,Google
be,tk,Google
be,tl,Google
be,tr,Google
be,ts,Google
be,tt,Google
be,tw,Google
be,ug,Google
be,uk,Google
be,ur,Google
be,uz,Google
be,vi,Google
be,wuu,Google
be,xh,Google
be,yi,Google
be,yo,Google
be,yue,Google
be,zh,Google
be,zu,Google
be-tarask,af,Google
be-tarask,am,Google
be-tarask,ar,Google
be-tarask,arz,Google
be-tarask,as,Google
be-tarask,ay,Google
be-tarask,az,Google
be-tarask,be,Google
be-tarask,bg,Google
be-tarask,bho,Google
be-tarask,bm,Google
be-tarask,bn,Google
be-tarask,bs,Google
be-tarask,ca,Google
be-tarask,ceb,Google
be-tarask,ckb,Google
be-tarask,co,Google
be-tarask,cs,Google
be-tarask,cy,Google
be-tarask,da,Google
be-tarask,de,Google
be-tarask,dv,Google
be-tarask,ee,Google
be-tarask,el,Google
be-tarask,en,Google
be-tarask,eo,Google
be-tarask,es,Google
be-tarask,et,Google
be-tarask,eu,Google
be-tarask,fa,Google
be-tarask,fi,Google
be-tarask,fr,Google
be-tarask,fy,Google
be-tarask,ga,Google
be-tarask,gan,Google
be-tarask,gd,Google
be-tarask,gl,Google
be-tarask,gn,Google
be-tarask,gom,Google
be-tarask,gu,Google
be-tarask,ha,Google
be-tarask,haw,Google
be-tarask,he,Google
be-tarask,hi,Google
be-tarask,hr,Google
be-tarask,ht,Google
be-tarask,hu,Google
be-tarask,hy,Google
be-tarask,id,Google
be-tarask,ig,Google
be-tarask,ilo,Google
be-tarask,is,Google
be-tarask,it,Google
be-tarask,ja,Google
be-tarask,jv,Google
be-tarask,ka,Google
be-tarask,kk,Google
be-tarask,km,Google
be-tarask,kn,Google
be-tarask,ko,Google
be-tarask,ku,Google
be-tarask,ky,Google
be-tarask,la,Google
be-tarask,lb,Google
be-tarask,lg,Google
be-tarask,ln,Google
be-tarask,lo,Google
be-tarask,lt,Google
be-tarask,lv,Google
be-tarask,mai,Google
be-tarask,mg,Google
be-tarask,mi,Google
be-tarask,mk,Google
be-tarask,ml,Google
be-tarask,mn,Google
be-tarask,mni,Google
be-tarask,mr,Google
be-tarask,ms,Google
be-tarask,mt,Google
be-tarask,my,Google
be-tarask,ne,Google
be-tarask,nl,Google
be-tarask,no,Google
be-tarask,nso,Google
be-tarask,ny,Google
be-tarask,om,Google
be-tarask,or,Google
be-tarask,pa,Google
be-tarask,pl,Google
be-tarask,ps,Google
be-tarask,pt,Google
be-tarask,qu,Google
be-tarask,ro,Google
be-tarask,ru,Google
be-tarask,rw,Google
be-tarask,sa,Google
be-tarask,sd,Google
be-tarask,sh,Google
be-tarask,si,Google
be-tarask,simple,Google
be-tarask,sk,Google
be-tarask,sl,Google
be-tarask,sm,Google
be-tarask,sn,Google
be-tarask,so,Google
be-tarask,sq,Google
be-tarask,sr,Google
be-tarask,st,Google
be-tarask,su,Google
be-tarask,sv,Google
be-tarask,sw,Google
be-tarask,ta,Google
be-tarask,te,Google
be-tarask,tg,Google
be-tarask,th,Google
be-tarask,ti,Google
be-tarask,tk,Google
be-tarask,tl,Google
be-tarask,tr,Google
be-tarask,ts,Google
be-tarask,tt,Google
be-tarask,tw,Google
be-tarask,ug,Google
be-tarask,uk,Google
be-tarask,ur,Google
be-tarask,uz,Google
be-tarask,vi,Google
be-tarask,wuu,Google
be-tarask,xh,Google
be-tarask,yi,Google
be-tarask,yo,Google
be-tarask,yue,Google
be-tarask,zh,Google
be-tarask,zu,Google
bg,af,Google
bg,am,Google
bg,ar,Google
bg,arz,Google
bg,as,Google
bg,ay,Google
bg,az,Google
bg,be,Google
bg,be-tarask,Google
bg,bho,Google
bg,bm,Google
bg,bn,Google
bg,bs,Google
bg,ca,Google
bg,ceb,Google
bg,ckb,Google
bg,co,Google
bg,cs,Google
bg,cy,Google
bg,da,Google
bg,de,Google
bg,dv,Google
bg,ee,Google
bg,el,Google
bg,en,Google
bg,eo,Google
bg,es,Google
bg,et,Google
bg,eu,Google
bg,fa,Google
bg,fi,Google
bg,fr,Google
bg,fy,Google
bg,ga,Google
bg,gan,Google
bg,gd,Google
bg,gl,Google
bg,gn,Google
bg,gom,Google
bg,gu,Google
bg,ha,Google
bg,haw,Google
bg,he,Google
bg,hi,Google
bg,hr,Google
bg,ht,Google
bg,hu,Google
bg,hy,Google
bg,id,Google
bg,ig,Google
bg,ilo,Google
bg,is,Google
bg,it,Google
bg,ja,Google
bg,jv,Google
bg,ka,Google
bg,kk,Google
bg,km,Google
bg,kn,Google
bg,ko,Google
bg,ku,Google
bg,ky,Google
bg,la,Google
bg,lb,Google
bg,lg,Google
bg,ln,Google
bg,lo,Google
bg,lt,Google
bg,lv,Google
bg,mai,Google
bg,mg,Google
bg,mi,Google
bg,mk,Google
bg,ml,Google
bg,mn,Google
bg,mni,Google
bg,mr,Google
bg,ms,Google
bg,mt,Google
bg,my,Google
bg,ne,Google
bg,nl,Google
bg,no,Google
bg,nso,Google
bg,ny,Google
bg,om,Google
bg,or,Google
bg,pa,Google
bg,pl,Google
bg,ps,Google
bg,pt,Google
bg,qu,Google
bg,ro,Google
bg,ru,Google
bg,rw,Google
bg,sa,Google
bg,sd,Google
bg,sh,Google
bg,si,Google
bg,simple,Google
bg,sk,Google
bg,sl,Google
bg,sm,Google
bg,sn,Google
bg,so,Google
bg,sq,Google
bg,sr,Google
bg,st,Google
bg,su,Google
bg,sv,Google
bg,sw,Google
bg,ta,Google
bg,te,Google
bg,tg,Google
bg,th,Google
bg,ti,Google
bg,tk,Google
bg,tl,Google
bg,tr,Google
bg,ts,Google
bg,tt,Google
bg,tw,Google
bg,ug,Google
bg,uk,Google
bg,ur,Google
bg,uz,Google
bg,vi,Google
bg,wuu,Google
bg,xh,Google
bg,yi,Google
bg,yo,Google
bg,yue,Google
bg,zh,Google
bg,zu,Google
bho,af,Google
bho,am,Google
bho,ar,Google
bho,arz,Google
bho,as,Google
bho,ay,Google
bho,az,Google
bho,be,Google
bho,be-tarask,Google
bho,bg,Google
bho,bm,Google
bho,bn,Google
bho,bs,Google
bho,ca,Google
bho,ceb,Google
bho,ckb,Google
bho,co,Google
bho,cs,Google
bho,cy,Google
bho,da,Google
bho,de,Google
bho,dv,Google
bho,ee,Google
bho,el,Google
bho,en,Google
bho,eo,Google
bho,es,Google
bho,et,Google
bho,eu,Google
bho,fa,Google
bho,fi,Google
bho,fr,Google
bho,fy,Google
bho,ga,Google
bho,gan,Google
bho,gd,Google
bho,gl,Google
bho,gn,Google
bho,gom,Google
bho,gu,Google
bho,ha,Google
bho,haw,Google
bho,he,Google
bho,hi,Google
